Date,Account_ID,Department_ID,Scenario,Amount
10/11/2023,OPEX-001,DPT-200,Budget,7632.91
11/07/2023,OPEX-005,DPT-500,Actual,15693.01
03/15/2023,OPEX-002,DPT-300,Budget,2185.03
02/13/2023,OPEX-005,DPT-500,Actual,2355.9
01/10/2023,COGS-001,DPT-300,Actual,9320.97
01/25/2023,OPEX-005,DPT-500,Actual,7456.93
03/27/2023,REV-001,DPT-200,Budget,97070.14
04/09/2023,OPEX-001,DPT-300,Actual,2848.67
06/12/2023,REV-002,DPT-200,Budget,114073.67
05/01/2023,OPEX-002,DPT-400,Actual,1481.49
12/12/2023,OPEX-001,DPT-200,Budget,11471.92
06/10/2023,COGS-002,DPT-200,Budget,10993.24
11/07/2023,COGS-002,DPT-500,Actual,7621.9
03/07/2023,COGS-002,DPT-200,Actual,17558.16
07/17/2023,REV-002,DPT-300,Actual,148928.9
10/29/2023,COGS-002,DPT-200,Budget,5155.95
12/07/2023,OPEX-005,DPT-200,Budget,8287.34
10/27/2023,OPEX-004,DPT-300,Budget,1877.5
11/16/2023,OPEX-001,DPT-400,Budget,17160.55
06/07/2023,COGS-002,DPT-300,Budget,27496.68
04/10/2023,REV-002,DPT-500,Budget,60979.42
02/07/2023,OPEX-005,DPT-300,Budget,1421.9
07/13/2023,OPEX-002,DPT-100,Budget,17562.1
11/26/2023,OPEX-001,DPT-500,Actual,18916.86
01/20/2023,OPEX-005,DPT-500,Actual,15148.69
05/31/2023,OPEX-003,DPT-500,Budget,2823.12
02/04/2023,REV-002,DPT-200,Budget,148229.79
05/10/2023,REV-002,DPT-500,Actual,129330.42
10/24/2023,REV-002,DPT-300,Budget,149678.23
09/05/2023,OPEX-001,DPT-100,Actual,5184.89
12/03/2023,REV-001,DPT-400,Actual,80420.29
01/15/2023,OPEX-005,DPT-500,Budget,15851.1
11/03/2023,COGS-001,DPT-400,Actual,11047.4
09/20/2023,COGS-002,DPT-300,Actual,25157.51
01/18/2023,OPEX-002,DPT-500,Actual,6769.29
11/05/2023,REV-002,DPT-400,Actual,115176.48
09/12/2023,OPEX-004,DPT-500,Budget,15760.68
09/27/2023,REV-002,DPT-100,Actual,111234.21
12/02/2023,COGS-002,DPT-100,Budget,13097.93
10/25/2023,COGS-002,DPT-500,Budget,25894.37
03/09/2023,COGS-001,DPT-200,Budget,21622.95
03/28/2023,COGS-002,DPT-300,Actual,9001.02
02/14/2023,OPEX-002,DPT-400,Actual,4009.93
12/11/2023,OPEX-001,DPT-200,Budget,11848.77
12/09/2023,COGS-001,DPT-200,Budget,8635.38
10/23/2023,OPEX-005,DPT-200,Actual,17486.02
08/26/2023,OPEX-005,DPT-300,Actual,13022.69
06/04/2023,OPEX-003,DPT-200,Actual,12798.75
07/23/2023,COGS-002,DPT-500,Actual,29407.38
02/04/2023,COGS-001,DPT-100,Actual,6825.62
01/09/2023,OPEX-004,DPT-100,Actual,12196.14
07/12/2023,COGS-001,DPT-200,Actual,11434.34
12/25/2023,OPEX-004,DPT-400,Budget,1816.65
01/10/2023,REV-002,DPT-200,Actual,110586.11
09/26/2023,COGS-002,DPT-200,Budget,9032.45
05/03/2023,COGS-002,DPT-200,Budget,11438.34
12/17/2023,REV-002,DPT-500,Actual,32835.55
09/27/2023,OPEX-001,DPT-300,Actual,12972.4
09/06/2023,COGS-001,DPT-200,Actual,22058.96
02/28/2023,OPEX-005,DPT-200,Budget,6846.45
09/07/2023,OPEX-005,DPT-400,Budget,12908.2
12/01/2023,REV-002,DPT-200,Actual,118525.42
11/11/2023,OPEX-002,DPT-500,Budget,10518.42
11/01/2023,COGS-002,DPT-100,Actual,8300.98
06/16/2023,COGS-001,DPT-400,Budget,27975.82
05/14/2023,OPEX-003,DPT-300,Budget,16456.46
04/27/2023,REV-002,DPT-200,Budget,106077.59
05/12/2023,OPEX-002,DPT-400,Budget,13253.03
07/08/2023,COGS-001,DPT-300,Budget,12625.09
07/31/2023,REV-002,DPT-500,Actual,49445.38
08/20/2023,COGS-001,DPT-500,Actual,25715.8
11/23/2023,OPEX-001,DPT-200,Actual,15792.93
08/22/2023,OPEX-002,DPT-200,Actual,3179.17
10/11/2023,OPEX-002,DPT-500,Actual,12528.81
02/19/2023,REV-002,DPT-500,Actual,80335.82
10/15/2023,REV-002,DPT-200,Budget,56954.44
09/20/2023,REV-002,DPT-200,Budget,97940.92
02/16/2023,COGS-002,DPT-300,Budget,7777.77
12/30/2023,COGS-001,DPT-100,Actual,18142.56
07/22/2023,COGS-001,DPT-300,Budget,9939.07
05/31/2023,OPEX-002,DPT-500,Budget,16520.83
01/30/2023,COGS-001,DPT-500,Actual,26028.91
01/16/2023,REV-002,DPT-100,Actual,81334.14
11/05/2023,COGS-002,DPT-300,Budget,24547.31
07/07/2023,OPEX-004,DPT-300,Actual,7875.95
08/14/2023,OPEX-004,DPT-400,Actual,16599.52
02/01/2023,REV-001,DPT-300,Budget,22778.18
08/09/2023,OPEX-005,DPT-100,Actual,1638.94
12/07/2023,COGS-002,DPT-100,Budget,8674.36
04/19/2023,OPEX-005,DPT-500,Actual,14313.87
01/17/2023,OPEX-005,DPT-500,Actual,12284.71
01/15/2023,COGS-002,DPT-400,Budget,26931.19
09/07/2023,OPEX-002,DPT-200,Budget,16379.49
11/05/2023,REV-001,DPT-500,Actual,103619.14
04/19/2023,REV-001,DPT-400,Actual,123973.88
09/19/2023,OPEX-005,DPT-100,Budget,14915.67
09/07/2023,COGS-001,DPT-500,Actual,6990.03
08/26/2023,REV-001,DPT-300,Actual,59911.74
08/02/2023,REV-001,DPT-200,Budget,118709.9
08/19/2023,REV-001,DPT-300,Actual,91900.69
09/13/2023,OPEX-001,DPT-300,Budget,6577.68
07/08/2023,OPEX-001,DPT-300,Budget,17087.9
01/19/2023,OPEX-002,DPT-200,Actual,15400.43
01/14/2023,OPEX-004,DPT-100,Budget,13315.96
07/25/2023,COGS-002,DPT-400,Actual,29019.64
02/12/2023,REV-002,DPT-400,Budget,137484.46
03/10/2023,OPEX-001,DPT-500,Actual,6323.06
08/27/2023,REV-001,DPT-500,Budget,21052.48
03/15/2023,OPEX-004,DPT-200,Budget,15977.97
03/29/2023,OPEX-003,DPT-100,Actual,3486.29
03/07/2023,OPEX-001,DPT-100,Actual,10804.94
02/20/2023,OPEX-004,DPT-400,Actual,14459.42
12/16/2023,OPEX-003,DPT-100,Budget,1389.54
05/15/2023,OPEX-005,DPT-400,Budget,3122.21
08/22/2023,COGS-002,DPT-500,Budget,22944.14
01/24/2023,COGS-001,DPT-100,Budget,18795.64
06/05/2023,COGS-002,DPT-500,Actual,7370.82
09/28/2023,COGS-002,DPT-500,Budget,24816.53
04/07/2023,OPEX-005,DPT-200,Budget,11069.42
04/14/2023,OPEX-003,DPT-100,Budget,10470.18
02/20/2023,REV-001,DPT-100,Budget,128223.69
07/05/2023,REV-002,DPT-200,Actual,90547.99
12/13/2023,OPEX-002,DPT-500,Actual,14669.09
06/07/2023,COGS-001,DPT-300,Budget,26062.8
03/25/2023,REV-001,DPT-200,Budget,10609.45
02/28/2023,OPEX-001,DPT-100,Actual,9085.12
02/18/2023,COGS-001,DPT-400,Actual,16036.29
10/15/2023,OPEX-004,DPT-100,Actual,3716.78
11/09/2023,REV-002,DPT-500,Actual,146723.31
03/09/2023,OPEX-005,DPT-100,Actual,17667.33
12/20/2023,OPEX-001,DPT-300,Budget,16565.52
02/28/2023,COGS-002,DPT-200,Budget,6133.93
10/29/2023,OPEX-005,DPT-300,Budget,17698.12
06/11/2023,COGS-002,DPT-500,Actual,15300.72
12/25/2023,OPEX-005,DPT-400,Actual,9732.76
12/23/2023,OPEX-004,DPT-300,Budget,5766.8
08/07/2023,OPEX-003,DPT-500,Actual,2161.57
10/14/2023,OPEX-002,DPT-400,Budget,3609.01
04/02/2023,COGS-001,DPT-400,Budget,22467.5
01/08/2023,REV-001,DPT-400,Actual,36929.83
11/05/2023,OPEX-003,DPT-300,Actual,17172.42
09/25/2023,COGS-002,DPT-200,Actual,11308.03
06/01/2023,COGS-002,DPT-200,Actual,24945.21
09/02/2023,OPEX-005,DPT-100,Budget,7531.73
12/15/2023,OPEX-001,DPT-300,Actual,19301.77
01/24/2023,REV-002,DPT-400,Actual,120245.64
12/03/2023,OPEX-005,DPT-300,Budget,19600.37
07/04/2023,OPEX-005,DPT-200,Actual,17192.5
12/03/2023,COGS-002,DPT-300,Actual,18063.84
03/18/2023,REV-002,DPT-300,Budget,52087.76
06/20/2023,REV-002,DPT-200,Budget,92915.49
05/03/2023,OPEX-001,DPT-500,Budget,5025.12
01/09/2023,OPEX-002,DPT-200,Actual,14244.48
11/28/2023,REV-002,DPT-100,Budget,60146.26
06/25/2023,OPEX-001,DPT-500,Actual,9264.51
06/12/2023,COGS-001,DPT-200,Actual,27934.15
08/14/2023,OPEX-004,DPT-300,Actual,7669.1
12/31/2023,OPEX-002,DPT-200,Actual,8634.76
05/25/2023,COGS-001,DPT-100,Actual,13655.27
06/25/2023,COGS-002,DPT-500,Budget,11602.74
05/31/2023,OPEX-005,DPT-200,Budget,10215.01
01/07/2023,OPEX-005,DPT-200,Actual,15135.8
04/05/2023,OPEX-002,DPT-400,Actual,4848.62
09/07/2023,OPEX-001,DPT-100,Budget,12592.86
02/20/2023,REV-001,DPT-100,Budget,118460.14
02/26/2023,OPEX-005,DPT-500,Actual,2923.72
10/15/2023,COGS-002,DPT-500,Actual,23787.49
01/09/2023,OPEX-005,DPT-500,Budget,17817.51
10/09/2023,OPEX-002,DPT-300,Budget,2424.76
10/23/2023,REV-002,DPT-400,Budget,132471.44
11/19/2023,OPEX-001,DPT-100,Budget,8195.58
08/08/2023,OPEX-005,DPT-200,Actual,6513.96
07/18/2023,OPEX-002,DPT-400,Actual,16197.64
08/12/2023,OPEX-001,DPT-300,Actual,6187.51
10/19/2023,COGS-001,DPT-300,Budget,23052.62
08/13/2023,OPEX-003,DPT-300,Budget,11026.28
04/01/2023,OPEX-001,DPT-500,Budget,8660.41
08/23/2023,COGS-002,DPT-200,Actual,15647.9
08/04/2023,OPEX-002,DPT-100,Budget,16412.13
07/29/2023,OPEX-005,DPT-200,Budget,5115.03
04/12/2023,OPEX-002,DPT-100,Actual,1675.92
02/01/2023,OPEX-002,DPT-400,Actual,11483.67
02/26/2023,OPEX-001,DPT-100,Budget,11051.08
12/27/2023,OPEX-004,DPT-300,Actual,19132.83
09/11/2023,OPEX-005,DPT-200,Actual,14519.76
03/06/2023,REV-001,DPT-500,Actual,77363.28
03/29/2023,OPEX-001,DPT-300,Actual,13798.45
04/16/2023,REV-001,DPT-400,Actual,87236.56
03/19/2023,REV-001,DPT-100,Actual,89164.28
01/31/2023,REV-001,DPT-300,Actual,54937.07
05/08/2023,OPEX-003,DPT-400,Budget,12050.11
02/03/2023,OPEX-004,DPT-400,Budget,19399.27
06/27/2023,OPEX-005,DPT-200,Actual,10776.58
09/13/2023,OPEX-002,DPT-200,Budget,15554.22
07/14/2023,REV-002,DPT-400,Actual,124599.82
04/26/2023,OPEX-003,DPT-100,Budget,18973
09/20/2023,REV-001,DPT-400,Actual,77904.45
06/22/2023,REV-002,DPT-500,Actual,44279.98
08/30/2023,OPEX-004,DPT-300,Budget,17063.95
02/28/2023,COGS-002,DPT-300,Budget,6600.08
09/12/2023,OPEX-004,DPT-100,Budget,19856.13
09/07/2023,OPEX-003,DPT-200,Budget,9094.54
07/29/2023,OPEX-004,DPT-300,Actual,16728.52
06/03/2023,OPEX-001,DPT-200,Actual,11715.25
02/18/2023,REV-002,DPT-300,Budget,55867.38
01/21/2023,COGS-001,DPT-200,Budget,18966.86
11/22/2023,REV-001,DPT-400,Budget,21436.96
04/05/2023,OPEX-003,DPT-300,Actual,6035.13
07/23/2023,OPEX-002,DPT-200,Actual,6939.56
10/17/2023,REV-002,DPT-300,Actual,92628.3
12/10/2023,OPEX-001,DPT-100,Budget,9202.19
03/11/2023,OPEX-002,DPT-200,Budget,13557.7
04/03/2023,REV-001,DPT-300,Budget,135614.51
01/11/2023,OPEX-001,DPT-400,Budget,3877.4
02/22/2023,COGS-001,DPT-400,Budget,11227.54
07/04/2023,OPEX-002,DPT-400,Budget,9903.02
09/17/2023,OPEX-003,DPT-100,Budget,5701.09
02/10/2023,OPEX-004,DPT-100,Budget,2483.06
08/16/2023,OPEX-001,DPT-200,Budget,11536.77
07/04/2023,COGS-001,DPT-500,Budget,20761.97
07/31/2023,OPEX-005,DPT-100,Actual,9698.78
05/16/2023,REV-002,DPT-200,Budget,127506.08
12/20/2023,OPEX-002,DPT-100,Actual,2233.58
12/09/2023,OPEX-002,DPT-100,Actual,18485.78
04/17/2023,COGS-001,DPT-200,Budget,18062.51
04/23/2023,OPEX-002,DPT-400,Budget,16736.14
02/12/2023,OPEX-002,DPT-500,Budget,17787.98
08/10/2023,OPEX-004,DPT-200,Budget,14447.61
07/24/2023,OPEX-005,DPT-200,Budget,19404.06
07/28/2023,OPEX-003,DPT-500,Budget,4614.22
01/10/2023,OPEX-004,DPT-200,Actual,14755.54
09/17/2023,OPEX-003,DPT-500,Budget,16653.09
11/09/2023,OPEX-004,DPT-100,Actual,2645.96
12/26/2023,OPEX-005,DPT-200,Budget,8101.88
09/28/2023,OPEX-002,DPT-400,Actual,10220.18
10/21/2023,REV-001,DPT-300,Actual,56892.09
05/27/2023,OPEX-004,DPT-300,Budget,19109.1
06/24/2023,OPEX-004,DPT-200,Budget,13098.09
02/05/2023,OPEX-003,DPT-100,Budget,16263.87
03/03/2023,OPEX-005,DPT-500,Actual,6791.22
11/13/2023,OPEX-001,DPT-100,Actual,15433.78
03/23/2023,COGS-002,DPT-300,Budget,18766.3
06/26/2023,COGS-001,DPT-200,Actual,25436.51
07/07/2023,OPEX-005,DPT-100,Actual,8041.7
07/15/2023,REV-002,DPT-200,Budget,139535.29
09/13/2023,COGS-001,DPT-300,Budget,9831.43
06/10/2023,OPEX-004,DPT-400,Budget,19488.18
05/09/2023,OPEX-005,DPT-200,Budget,10352.44
10/11/2023,COGS-001,DPT-200,Actual,16179.9
05/15/2023,OPEX-005,DPT-300,Budget,11137.62
03/03/2023,OPEX-002,DPT-200,Budget,1278.62
01/02/2023,REV-002,DPT-300,Budget,48222.98
03/16/2023,OPEX-001,DPT-400,Actual,11112.86
04/04/2023,OPEX-001,DPT-300,Budget,8727.38
01/27/2023,OPEX-005,DPT-100,Actual,3730.38
11/06/2023,COGS-002,DPT-200,Budget,23370.54
05/18/2023,OPEX-001,DPT-100,Budget,6730.76
11/12/2023,COGS-001,DPT-200,Actual,9320.71
05/07/2023,OPEX-003,DPT-100,Actual,8627.46
03/17/2023,OPEX-002,DPT-200,Budget,10974.74
12/20/2023,OPEX-003,DPT-500,Actual,6118.03
06/11/2023,OPEX-004,DPT-200,Actual,13170.86
03/27/2023,OPEX-003,DPT-300,Budget,6749.63
01/13/2023,OPEX-003,DPT-300,Budget,13048.47
08/01/2023,COGS-002,DPT-500,Actual,24137.16
11/17/2023,COGS-002,DPT-300,Budget,27607.68
07/21/2023,OPEX-001,DPT-300,Actual,19860.16
01/31/2023,OPEX-002,DPT-200,Actual,4838.33
04/16/2023,COGS-001,DPT-200,Budget,28747.75
08/21/2023,COGS-001,DPT-300,Actual,15633.5
03/31/2023,REV-001,DPT-100,Budget,81026.44
05/08/2023,REV-002,DPT-300,Budget,98170.71
02/15/2023,COGS-001,DPT-500,Actual,11897.31
05/09/2023,OPEX-005,DPT-100,Actual,18710.9
01/24/2023,OPEX-002,DPT-200,Budget,5872.09
08/09/2023,OPEX-003,DPT-400,Budget,10303.26
12/14/2023,COGS-001,DPT-400,Actual,7074.66
04/25/2023,REV-001,DPT-300,Actual,55614.81
07/16/2023,COGS-002,DPT-500,Actual,16744.69
09/13/2023,REV-001,DPT-400,Budget,100460.76
10/29/2023,COGS-002,DPT-500,Actual,12460.88
12/22/2023,OPEX-005,DPT-400,Actual,19631.52
07/04/2023,REV-001,DPT-500,Actual,96782.93
02/06/2023,COGS-001,DPT-200,Actual,13209.06
06/21/2023,OPEX-001,DPT-100,Actual,9254.53
04/26/2023,OPEX-001,DPT-300,Budget,5205.21
05/15/2023,OPEX-004,DPT-300,Budget,4872.78
01/23/2023,OPEX-003,DPT-500,Budget,14891.32
09/04/2023,COGS-002,DPT-400,Actual,14023.54
06/01/2023,COGS-001,DPT-300,Actual,24427.76
07/19/2023,OPEX-001,DPT-100,Budget,18923.71
12/18/2023,OPEX-005,DPT-400,Actual,6718.1
05/12/2023,REV-002,DPT-500,Actual,96260.5
01/02/2023,OPEX-001,DPT-100,Budget,14457.27
02/13/2023,OPEX-003,DPT-100,Actual,4018.72
08/03/2023,OPEX-004,DPT-200,Actual,10292.43
06/03/2023,REV-001,DPT-100,Actual,132496.79
10/15/2023,OPEX-004,DPT-200,Actual,7642.33
04/24/2023,OPEX-001,DPT-100,Actual,2755.05
06/19/2023,COGS-001,DPT-400,Budget,26729.61
05/21/2023,OPEX-002,DPT-400,Budget,8630.63
01/27/2023,OPEX-002,DPT-100,Actual,6922.92
08/11/2023,COGS-002,DPT-500,Actual,23055.51
06/03/2023,COGS-002,DPT-500,Actual,7155.02
12/13/2023,OPEX-005,DPT-500,Budget,18822.4
08/05/2023,COGS-001,DPT-500,Actual,28954.14
10/07/2023,OPEX-004,DPT-300,Budget,19897.71
08/18/2023,OPEX-003,DPT-400,Actual,14622.77
01/21/2023,OPEX-001,DPT-500,Actual,18410.01
03/17/2023,OPEX-001,DPT-100,Budget,13546.73
11/17/2023,OPEX-002,DPT-300,Actual,16606.48
12/13/2023,OPEX-003,DPT-100,Budget,15954.92
10/21/2023,OPEX-003,DPT-200,Actual,12236.08
06/07/2023,REV-002,DPT-300,Actual,135774.94
05/12/2023,OPEX-004,DPT-200,Actual,15349.52
05/02/2023,OPEX-005,DPT-100,Actual,9881.09
08/09/2023,OPEX-005,DPT-200,Actual,14300.33
11/27/2023,OPEX-005,DPT-300,Budget,6861.09
02/14/2023,OPEX-005,DPT-500,Actual,15769.99
08/01/2023,REV-001,DPT-300,Actual,146377.41
12/27/2023,OPEX-005,DPT-100,Actual,1110.28
06/22/2023,OPEX-002,DPT-300,Actual,9776.64
03/07/2023,COGS-002,DPT-500,Actual,29499.07
01/24/2023,OPEX-005,DPT-200,Actual,2325.43
07/24/2023,REV-002,DPT-500,Actual,35782.99
01/22/2023,OPEX-005,DPT-300,Actual,19233.04
09/05/2023,OPEX-004,DPT-100,Budget,8714.99
02/02/2023,OPEX-004,DPT-500,Budget,11737
06/05/2023,OPEX-002,DPT-500,Budget,17528.86
04/28/2023,COGS-002,DPT-300,Actual,29474.17
01/09/2023,OPEX-005,DPT-200,Budget,17712.98
01/28/2023,OPEX-001,DPT-500,Budget,3969.81
09/15/2023,OPEX-001,DPT-500,Actual,7157.41
12/02/2023,OPEX-005,DPT-100,Actual,13782.42
12/19/2023,OPEX-001,DPT-100,Budget,19864.92
12/27/2023,OPEX-001,DPT-100,Budget,11911.81
05/30/2023,OPEX-005,DPT-400,Actual,9786.58
06/22/2023,OPEX-005,DPT-100,Budget,2185.71
06/18/2023,OPEX-003,DPT-400,Budget,3955.98
09/13/2023,OPEX-001,DPT-300,Actual,15994.81
06/02/2023,COGS-002,DPT-200,Budget,17776.24
03/29/2023,OPEX-002,DPT-400,Actual,19139.68
12/29/2023,OPEX-003,DPT-400,Actual,6819.23
06/16/2023,COGS-002,DPT-100,Actual,13555.46
05/09/2023,REV-001,DPT-500,Actual,128714.04
10/03/2023,OPEX-004,DPT-200,Budget,15558.62
08/24/2023,REV-001,DPT-300,Budget,12441.93
04/10/2023,COGS-001,DPT-500,Budget,5965.7
12/16/2023,OPEX-004,DPT-300,Budget,4810.09
07/04/2023,REV-002,DPT-500,Actual,143772.95
04/12/2023,REV-002,DPT-100,Actual,52669.59
11/18/2023,OPEX-003,DPT-300,Actual,8865.54
04/30/2023,OPEX-004,DPT-300,Budget,15380.91
05/21/2023,REV-001,DPT-100,Budget,58021.65
04/15/2023,OPEX-005,DPT-200,Budget,17963.86
08/10/2023,COGS-002,DPT-200,Budget,21704.11
05/13/2023,OPEX-003,DPT-400,Budget,8414.27
08/13/2023,REV-001,DPT-400,Actual,71522.1
03/21/2023,REV-001,DPT-400,Actual,26771.29
05/23/2023,OPEX-004,DPT-300,Actual,4318.87
06/24/2023,COGS-002,DPT-300,Budget,21387.54
02/25/2023,REV-001,DPT-100,Budget,56808.92
05/12/2023,REV-002,DPT-400,Budget,143029.29
01/24/2023,OPEX-005,DPT-200,Actual,7415.91
05/14/2023,OPEX-003,DPT-500,Actual,10140.03
05/17/2023,OPEX-004,DPT-300,Actual,1571.1
10/25/2023,OPEX-003,DPT-500,Budget,8289.39
09/12/2023,OPEX-003,DPT-100,Actual,7846.09
10/29/2023,OPEX-002,DPT-500,Budget,10852.56
12/21/2023,OPEX-001,DPT-500,Budget,12000.3
08/15/2023,OPEX-005,DPT-500,Actual,7739.65
07/14/2023,REV-001,DPT-200,Budget,91881.04
05/30/2023,OPEX-001,DPT-300,Budget,12503.05
07/11/2023,COGS-002,DPT-400,Actual,14042.95
01/01/2023,COGS-001,DPT-300,Budget,7256.65
06/16/2023,OPEX-005,DPT-100,Actual,7157.44
08/07/2023,OPEX-005,DPT-400,Actual,1793.26
05/15/2023,REV-001,DPT-100,Actual,139095.34
09/03/2023,OPEX-003,DPT-500,Budget,4714.25
02/12/2023,REV-001,DPT-200,Budget,32911.67
03/09/2023,REV-001,DPT-200,Budget,110583.18
09/27/2023,OPEX-001,DPT-100,Budget,19395.84
06/27/2023,REV-001,DPT-400,Actual,17471.4
06/05/2023,REV-001,DPT-300,Budget,78809.5
03/30/2023,OPEX-004,DPT-100,Actual,7128.88
08/31/2023,OPEX-005,DPT-200,Actual,3159.55
10/12/2023,OPEX-001,DPT-300,Actual,6520.14
02/25/2023,REV-002,DPT-300,Budget,106021.64
09/07/2023,OPEX-001,DPT-200,Budget,19540.84
03/12/2023,REV-001,DPT-300,Actual,62945.22
02/03/2023,OPEX-004,DPT-200,Budget,19941.94
02/27/2023,COGS-001,DPT-100,Actual,27012.34
11/11/2023,OPEX-004,DPT-500,Actual,7668.22
08/20/2023,REV-001,DPT-400,Actual,115238.1
03/18/2023,OPEX-003,DPT-400,Budget,16933.15
11/27/2023,OPEX-001,DPT-300,Actual,14393.06
04/10/2023,OPEX-004,DPT-400,Budget,11942.01
02/03/2023,REV-002,DPT-300,Actual,130588.27
08/03/2023,REV-001,DPT-300,Budget,132915.97
08/01/2023,OPEX-003,DPT-400,Actual,16514.04
02/27/2023,OPEX-003,DPT-500,Budget,7004.33
02/05/2023,REV-002,DPT-500,Actual,149560.68
05/04/2023,REV-001,DPT-200,Budget,109889.11
03/06/2023,OPEX-003,DPT-100,Budget,1036.07
03/31/2023,REV-001,DPT-500,Budget,81852.24
03/14/2023,COGS-002,DPT-100,Actual,10031.44
05/15/2023,OPEX-001,DPT-200,Budget,9701.33
12/20/2023,REV-002,DPT-500,Budget,11391.77
11/16/2023,OPEX-002,DPT-300,Budget,7685.38
09/24/2023,OPEX-001,DPT-300,Actual,17994.48
02/05/2023,OPEX-001,DPT-300,Budget,14935.39
06/20/2023,REV-002,DPT-200,Actual,44409.67
09/17/2023,COGS-002,DPT-300,Actual,5029.8
07/11/2023,OPEX-002,DPT-200,Actual,14958.34
10/27/2023,OPEX-003,DPT-200,Actual,2211.01
02/05/2023,COGS-002,DPT-400,Budget,24551.01
02/17/2023,OPEX-004,DPT-500,Budget,11947.11
10/04/2023,OPEX-001,DPT-500,Actual,19109.03
06/05/2023,REV-001,DPT-300,Actual,106077.46
07/01/2023,OPEX-003,DPT-200,Budget,16320.77
05/05/2023,OPEX-004,DPT-300,Actual,14871.82
08/15/2023,OPEX-004,DPT-200,Budget,11947.6
08/13/2023,COGS-002,DPT-200,Actual,14895.01
10/11/2023,COGS-002,DPT-500,Budget,24822.97
09/26/2023,COGS-002,DPT-200,Budget,29422.85
09/10/2023,OPEX-005,DPT-300,Budget,3346.27
01/15/2023,COGS-001,DPT-100,Actual,29340.46
03/26/2023,OPEX-004,DPT-100,Actual,3064.29
11/23/2023,OPEX-005,DPT-200,Actual,9998.04
01/09/2023,OPEX-001,DPT-400,Actual,2337.48
06/01/2023,OPEX-004,DPT-500,Actual,15665.32
09/10/2023,OPEX-003,DPT-300,Actual,19631.81
09/02/2023,COGS-002,DPT-400,Budget,24623.7
02/11/2023,COGS-002,DPT-500,Budget,27108.61
09/12/2023,OPEX-003,DPT-400,Budget,14800.87
07/19/2023,COGS-001,DPT-100,Actual,5586
03/25/2023,COGS-001,DPT-200,Actual,18493.83
09/23/2023,OPEX-002,DPT-100,Actual,12105.63
09/23/2023,OPEX-005,DPT-300,Budget,7544.38
01/23/2023,COGS-002,DPT-300,Budget,29239.58
08/02/2023,REV-002,DPT-400,Actual,53008.26
12/28/2023,OPEX-004,DPT-100,Budget,7072.96
05/10/2023,OPEX-003,DPT-500,Budget,19786.83
09/10/2023,OPEX-003,DPT-200,Budget,13635.11
05/28/2023,OPEX-001,DPT-200,Actual,2833.66
12/19/2023,COGS-001,DPT-200,Budget,8493
10/11/2023,OPEX-005,DPT-200,Budget,11843.14
12/28/2023,OPEX-004,DPT-200,Budget,11529.72
07/18/2023,OPEX-005,DPT-300,Budget,1157.75
